tag	description
E4CBAR01	Barra de Tensión 110 VCC
E4CREC01	Alarma tensión Alta/Baja VCC SSAA
E4CTDB02	Titulador de Barra 110 VCC
E4CTS101	Falta Tensión Comando 13.2KV
E4CTS201	Falta Tensión Comando 33KV
E4CVV_01	Tensión Barra SSAA 110 VCC
E4BREC01	Alarma alimentación VCA SSAA
E4ABAR01	Barra de Tensión 380VCA Rectificador
E4CBAR01	Barra de Tensión 110VCC Batería
E4ATDB01	Titulador de Barra 380VCA
E4CTDB01	Titulador de Barra 110VCC
E4251_01	Prot.Max.Corriente Transformador SSAA
E4251_02	Prot.Max.Corriente Alimentador Trafo 1 33KV
E4251_03	Prot.Max.Corriente Alimentador Trafo 2 33KV
E4251_05	Prot.Max.Corriente Alimentador Linea 1 33 KV Entrada Anillo
E4251_06	Prot.Max.Corriente Alimentador Linea 2 33 KV Salida Anillo
E4252B01	Interruptor Transformador SSAA
E4252B02	Interruptor Alimentador Trafo 1 33KV
E4252B03	Interruptor Alimentador Trafo 2 33KV
E4252B05	Interruptor Alimentador Linea 1 33 KV Entrada Anillo
E4252B06	Interruptor Alimentador Linea 2 33 KV Salida Anillo
E4264_02	Prot.Cuba Disparo Transformador TR1
E4264_03	Prot.Cuba Disparo Transformador TR2
E4289I01	Seccionador Linea Inf Alimentador Trafo SSAA 33KV
E4289I02	Seccionador Linea Inf Alimentador Trafo 1 33KV
E4289I03	Seccionador Linea Inf Alimentador Trafo 2 33KV
E4289I05	Seccionador Linea Inf Alimentador Linea 1 33 KV Entrada Anillo
E4289I06	Seccionador Linea Inf Alimentador Linea 2 33 KV Salida Anillo
E4289S01	Seccionador Linea Sup Alimentador Trafo SSAA 33KV
E4289S02	Seccionador Linea Sup Alimentador Trafo 1 33KV
E4289S03	Seccionador Linea Sup Alimentador Trafo 2 33KV
E4289S05	Seccionador Linea Sup Alimentador Linea 1 33 KV Entrada Anillo
E4289S06	Seccionador Linea Sup Alimentador Linea 2 33 KV Salida Anillo
E4289T01	Seccionador PAT Alimentador Trafo SSAA 33KV
E4289T02	Seccionador PAT Alimentador Trafo 1 33KV
E4289T03	Seccionador PAT Alimentador Trafo 2 33KV
E4289T05	Seccionador PAT Alimentador Linea 1 33 KV Entrada Anillo
E4289T06	Seccionador PAT Alimentador Linea 2 33 KV Salida Anillo
E42BAR00	Barra de Tensión 33KV
E42II_01	Corriente Alimentador Trafo SSAA 33KV
E42II_02	Corriente Alimentador Trafo 1 33KV
E42II_03	Corriente Alimentador Trafo 2 33KV
E42II_05	Corriente Alimentador Linea 1 33 KV Entrada Anillo
E42II_06	Corriente Alimentador Linea 2 33 KV Salida Anillo
E42NDC01	Numerador de Campo Alimentador Trafo SSAA 33KV
E42NDC02	Numerador de Campo Alimentador Trafo 1 33KV
E42NDC03	Numerador de Campo Alimentador Trafo 2 33KV
E42NDC05	Numerador de Campo Alimentador Linea 1 33 KV Entrada Anillo
E42NDC06	Numerador de Campo Alimentador Linea 2 33 KV Salida Anillo
E42PIA02	Prot.Int.Trafo Alarma Transformador TR1
E42PIA03	Prot.Int.Trafo Alarma Transformador TR2
E42PID02	Prot.Int. Trafo Disparo Transformador TR1
E42PID03	Prot.Int. Trafo Disparo Transformador TR2
E42RBA02	Prot.Int.RBC Alarma Transformador TR1
E42RBA03	Prot.Int.RBC Alarma Transformador TR2
E42RBD02	Prot.Int.RBC Disparo Transformador TR1
E42RBD03	Prot.Int.RBC Disparo Transformador TR2
